source,target,0.9 Availability,0.99 Availability,0.999 Availability,0.9999 Availability
1,2,0.81,0.9801,0.998001,0.99980001
1,3,0.81,0.9801,0.998001,0.99980001
1,4,0.73046034,0.978945457,0.997989046,0.99979989
1,5,0.74194478,0.979135599,0.997991036,0.99979991
1,6,0.748912562,0.979232581,0.997992033,0.99979992
1,7,0.748912562,0.979232581,0.997992033,0.99979992
1,8,0.774198,0.979615811,0.997996016,0.99979996
1,9,0.774198,0.979615811,0.997996016,0.99979996
1,10,0.79461,0.97990496,0.997999005,0.99979999
1,11,0.79461,0.97990496,0.997999005,0.99979999
2,3,0.79461,0.97990496,0.997999005,0.99979999
2,4,0.737374978,0.97904243,0.997990043,0.9997999
2,5,0.748912562,0.979232581,0.997992033,0.99979992
2,6,0.7558272,0.979329553,0.99799303,0.99979993
2,7,0.756064052,0.979329591,0.99799303,0.99979993
2,8,0.7821441,0.979713801,0.997997014,0.99979997
2,9,0.780759,0.979711871,0.997997012,0.99979997
2,10,0.79461,0.97990496,0.997999005,0.99979999
2,11,0.81,0.9801,0.998001,0.99980001
3,4,0.737262785,0.979042411,0.997990043,0.9997999
3,5,0.748912562,0.979232581,0.997992033,0.99979992
3,6,0.756064052,0.979329591,0.99799303,0.99979993
3,7,0.7558272,0.979329553,0.99799303,0.99979993
3,8,0.780759,0.979711871,0.997997012,0.99979997
3,9,0.7821441,0.979713801,0.997997014,0.99979997
3,10,0.81,0.9801,0.998001,0.99980001
3,11,0.79461,0.97990496,0.997999005,0.99979999
4,5,0.81,0.9801,0.998001,0.99980001
4,6,0.788049,0.9798089,0.997998009,0.99979998
4,7,0.81,0.9801,0.998001,0.99980001
4,8,0.788049,0.9798089,0.997998009,0.99979998
4,9,0.780759,0.979711871,0.997997012,0.99979997
4,10,0.7617321,0.979424652,0.997994025,0.99979994
4,11,0.7623882,0.979425613,0.997994026,0.99979994
5,6,0.81,0.9801,0.998001,0.99980001
5,7,0.81,0.9801,0.998001,0.99980001
5,8,0.79461,0.97990496,0.997999005,0.99979999
5,9,0.79461,0.97990496,0.997999005,0.99979999
5,10,0.774198,0.979615811,0.997996016,0.99979996
5,11,0.774198,0.979615811,0.997996016,0.99979996
6,7,0.79461,0.97990496,0.997999005,0.99979999
6,8,0.79461,0.97990496,0.997999005,0.99979999
6,9,0.81,0.9801,0.998001,0.99980001
6,10,0.7821441,0.979713801,0.997997014,0.99979997
6,11,0.780759,0.979711871,0.997997012,0.99979997
7,8,0.81,0.9801,0.998001,0.99980001
7,9,0.79461,0.97990496,0.997999005,0.99979999
7,10,0.780759,0.979711871,0.997997012,0.99979997
7,11,0.7821441,0.979713801,0.997997014,0.99979997
8,9,0.81,0.9801,0.998001,0.99980001
8,10,0.8019,0.98000199,0.998000002,0.9998
8,11,0.81,0.9801,0.998001,0.99980001
9,10,0.81,0.9801,0.998001,0.99980001
9,11,0.8019,0.98000199,0.998000002,0.9998
10,11,0.81,0.9801,0.998001,0.99980001
