source,target,boolean_expression,length
0,1,[[-1] + [-2 * -13 * -14 * 1] + [-5 * -13 * -14 * 1 * 2] + [-9 * -13 * -14 * 1 * 2 * 5] + [-12 * -13 * -14 * 1 * 2 * 5 * 9] + [-13 * -14 * -16 * 1 * 2 * 5 * 9 * 12]],6
0,2,[[0] + [-2 * 0]],2
0,3,[[0] + [-3 * 0] + [-2 * -12 * 0 * 3] + [-6 * -12 * 0 * 3 * 2] + [-7 * -12 * 0 * 3 * 2 * 6] + [-12 * -15 * 0 * 3 * 2 * 6 * 7] + [-1 * -2 * -14 * 0 * 3 * 12] + [-2 * -5 * -14 * 0 * 3 * 12 * 1] + [-2 * -9 * -14 * 0 * 3 * 12 * 1 * 5] + [-2 * -13 * -14 * 0 * 3 * 12 * 1 * 5 * 9] + [-2 * -14 * -16 * 0 * 3 * 12 * 1 * 5 * 9 * 13]],11
0,4,[[0] + [-4 * 0] + [-2 * -12 * 0 * 4] + [-3 * -6 * 0 * 4 * 2] + [-3 * -6 * 0 * 4 * -2 * 12] + [-6 * -7 * 0 * 4 * 2 * 3] + [-6 * -7 * 0 * 4 * -2 * 12 * 3] + [-6 * -8 * 0 * 4 * 2 * 3 * 7] + [-6 * -8 * 0 * 4 * -2 * 12 * 3 * 7] + [-6 * -12 * 0 * 4 * 2 * 3 * 7 * 8] + [-6 * -15 * 0 * 4 * 2 * 3 * 7 * 8 * 12] + [-6 * -15 * 0 * 4 * -2 * 12 * 3 * 7 * 8] + [-1 * -2 * -14 * 0 * 4 * 12 * 3 * 6] + [-1 * -2 * -14 * 0 * 4 * 12 * 3 * -6 * 7 * 8 * 15] + [-1 * -2 * -14 * 0 * 4 * 12 * -3 * 6] + [-2 * -5 * -14 * 0 * 4 * 12 * 3 * 6 * 1] + [-2 * -5 * -14 * 0 * 4 * 12 * 3 * -6 * 7 * 8 * 15 * 1] + [-2 * -5 * -14 * 0 * 4 * 12 * -3 * 6 * 1] + [-2 * -9 * -14 * 0 * 4 * 12 * 3 * 6 * 1 * 5] + [-2 * -9 * -14 * 0 * 4 * 12 * 3 * -6 * 7 * 8 * 15 * 1 * 5] + [-2 * -9 * -14 * 0 * 4 * 12 * -3 * 6 * 1 * 5] + [-2 * -13 * -14 * 0 * 4 * 12 * 3 * 6 * 1 * 5 * 9] + [-2 * -13 * -14 * 0 * 4 * 12 * 3 * -6 * 7 * 8 * 15 * 1 * 5 * 9] + [-2 * -13 * -14 * 0 * 4 * 12 * -3 * 6 * 1 * 5 * 9] + [-2 * -14 * -16 * 0 * 4 * 12 * 3 * 6 * 1 * 5 * 9 * 13] + [-2 * -14 * -16 * 0 * 4 * 12 * 3 * -6 * 7 * 8 * 15 * 1 * 5 * 9 * 13] + [-2 * -14 * -16 * 0 * 4 * 12 * -3 * 6 * 1 * 5 * 9 * 13]],27
0,5,[[0] + [-5 * 0] + [-1 * -9 * 0 * 5] + [-1 * -2 * -14 * 0 * 5 * 9] + [-1 * -12 * -14 * 0 * 5 * 9 * 2] + [-1 * -14 * -16 * 0 * 5 * 9 * 2 * 12] + [-2 * -13 * -14 * 0 * 5 * 1] + [-9 * -13 * -14 * 0 * 5 * 1 * 2] + [-12 * -13 * -14 * 0 * 5 * 1 * 2 * 9] + [-13 * -14 * -16 * 0 * 5 * 1 * 2 * 9 * 12]],10
0,6,[[0] + [-6 * 0] + [-2 * -12 * 0 * 6] + [-1 * -2 * -14 * 0 * 6 * 12] + [-2 * -5 * -14 * 0 * 6 * 12 * 1] + [-2 * -9 * -14 * 0 * 6 * 12 * 1 * 5] + [-2 * -13 * -14 * 0 * 6 * 12 * 1 * 5 * 9] + [-2 * -14 * -16 * 0 * 6 * 12 * 1 * 5 * 9 * 13]],8
0,7,[[0] + [-7 * 0] + [-2 * -12 * 0 * 7] + [-3 * -6 * 0 * 7 * 2] + [-3 * -6 * 0 * 7 * -2 * 12] + [-6 * -12 * 0 * 7 * 2 * 3] + [-6 * -15 * 0 * 7 * 2 * 3 * 12] + [-6 * -15 * 0 * 7 * -2 * 12 * 3] + [-1 * -2 * -14 * 0 * 7 * 12 * 3 * 6] + [-1 * -2 * -14 * 0 * 7 * 12 * 3 * -6 * 15] + [-1 * -2 * -14 * 0 * 7 * 12 * -3 * 6] + [-2 * -5 * -14 * 0 * 7 * 12 * 3 * 6 * 1] + [-2 * -5 * -14 * 0 * 7 * 12 * 3 * -6 * 15 * 1] + [-2 * -5 * -14 * 0 * 7 * 12 * -3 * 6 * 1] + [-2 * -9 * -14 * 0 * 7 * 12 * 3 * 6 * 1 * 5] + [-2 * -9 * -14 * 0 * 7 * 12 * 3 * -6 * 15 * 1 * 5] + [-2 * -9 * -14 * 0 * 7 * 12 * -3 * 6 * 1 * 5] + [-2 * -13 * -14 * 0 * 7 * 12 * 3 * 6 * 1 * 5 * 9] + [-2 * -13 * -14 * 0 * 7 * 12 * 3 * -6 * 15 * 1 * 5 * 9] + [-2 * -13 * -14 * 0 * 7 * 12 * -3 * 6 * 1 * 5 * 9] + [-2 * -14 * -16 * 0 * 7 * 12 * 3 * 6 * 1 * 5 * 9 * 13] + [-2 * -14 * -16 * 0 * 7 * 12 * 3 * -6 * 15 * 1 * 5 * 9 * 13] + [-2 * -14 * -16 * 0 * 7 * 12 * -3 * 6 * 1 * 5 * 9 * 13]],23
0,8,[[0] + [-8 * 0] + [-2 * -12 * 0 * 8] + [-3 * -6 * 0 * 8 * 2] + [-3 * -6 * 0 * 8 * -2 * 12] + [-4 * -7 * 0 * 8 * 2 * 3] + [-4 * -7 * 0 * 8 * 2 * -3 * 6] + [-4 * -7 * 0 * 8 * -2 * 12 * 3] + [-4 * -7 * 0 * 8 * -2 * 12 * -3 * 6] + [-6 * -7 * 0 * 8 * 2 * 3 * 4] + [-6 * -7 * 0 * 8 * -2 * 12 * 3 * 4] + [-6 * -12 * 0 * 8 * 2 * 3 * 4 * 7] + [-6 * -12 * 0 * 8 * 2 * 3 * -4 * 7] + [-6 * -15 * 0 * 8 * 2 * 3 * 4 * 7 * 12] + [-6 * -15 * 0 * 8 * 2 * 3 * -4 * 7 * 12] + [-6 * -15 * 0 * 8 * -2 * 12 * 3 * 4 * 7] + [-6 * -15 * 0 * 8 * -2 * 12 * 3 * -4 * 7] + [-1 * -2 * -14 * 0 * 8 * 12 * 3 * 4 * 6] + [-1 * -2 * -14 * 0 * 8 * 12 * 3 * 4 * -6 * 7 * 15] + [-1 * -2 * -14 * 0 * 8 * 12 * 3 * -4 * 7 * 6] + [-1 * -2 * -14 * 0 * 8 * 12 * 3 * -4 * 7 * -6 * 15] + [-1 * -2 * -14 * 0 * 8 * 12 * -3 * 6 * 4] + [-1 * -2 * -14 * 0 * 8 * 12 * -3 * 6 * -4 * 7] + [-2 * -5 * -14 * 0 * 8 * 12 * 3 * 4 * 6 * 1] + [-2 * -5 * -14 * 0 * 8 * 12 * 3 * 4 * -6 * 7 * 15 * 1] + [-2 * -5 * -14 * 0 * 8 * 12 * 3 * -4 * 7 * 6 * 1] + [-2 * -5 * -14 * 0 * 8 * 12 * 3 * -4 * 7 * -6 * 15 * 1] + [-2 * -5 * -14 * 0 * 8 * 12 * -3 * 6 * 4 * 1] + [-2 * -5 * -14 * 0 * 8 * 12 * -3 * 6 * -4 * 7 * 1] + [-2 * -9 * -14 * 0 * 8 * 12 * 3 * 4 * 6 * 1 * 5] + [-2 * -9 * -14 * 0 * 8 * 12 * 3 * 4 * -6 * 7 * 15 * 1 * 5] + [-2 * -9 * -14 * 0 * 8 * 12 * 3 * -4 * 7 * 6 * 1 * 5] + [-2 * -9 * -14 * 0 * 8 * 12 * 3 * -4 * 7 * -6 * 15 * 1 * 5] + [-2 * -9 * -14 * 0 * 8 * 12 * -3 * 6 * 4 * 1 * 5] + [-2 * -9 * -14 * 0 * 8 * 12 * -3 * 6 * -4 * 7 * 1 * 5] + [-2 * -13 * -14 * 0 * 8 * 12 * 3 * 4 * 6 * 1 * 5 * 9] + [-2 * -13 * -14 * 0 * 8 * 12 * 3 * 4 * -6 * 7 * 15 * 1 * 5 * 9] + [-2 * -13 * -14 * 0 * 8 * 12 * 3 * -4 * 7 * 6 * 1 * 5 * 9] + [-2 * -13 * -14 * 0 * 8 * 12 * 3 * -4 * 7 * -6 * 15 * 1 * 5 * 9] + [-2 * -13 * -14 * 0 * 8 * 12 * -3 * 6 * 4 * 1 * 5 * 9] + [-2 * -13 * -14 * 0 * 8 * 12 * -3 * 6 * -4 * 7 * 1 * 5 * 9] + [-2 * -14 * -16 * 0 * 8 * 12 * 3 * 4 * 6 * 1 * 5 * 9 * 13] + [-2 * -14 * -16 * 0 * 8 * 12 * 3 * 4 * -6 * 7 * 15 * 1 * 5 * 9 * 13] + [-2 * -14 * -16 * 0 * 8 * 12 * 3 * -4 * 7 * 6 * 1 * 5 * 9 * 13] + [-2 * -14 * -16 * 0 * 8 * 12 * 3 * -4 * 7 * -6 * 15 * 1 * 5 * 9 * 13] + [-2 * -14 * -16 * 0 * 8 * 12 * -3 * 6 * 4 * 1 * 5 * 9 * 13] + [-2 * -14 * -16 * 0 * 8 * 12 * -3 * 6 * -4 * 7 * 1 * 5 * 9 * 13]],47
0,9,[[0] + [-9 * 0] + [-1 * -2 * -14 * 0 * 9] + [-1 * -12 * -14 * 0 * 9 * 2] + [-1 * -14 * -16 * 0 * 9 * 2 * 12] + [-2 * -5 * -14 * 0 * 9 * 1] + [-2 * -13 * -14 * 0 * 9 * 1 * 5] + [-5 * -12 * -14 * 0 * 9 * 1 * 2] + [-5 * -14 * -16 * 0 * 9 * 1 * 2 * 12] + [-12 * -13 * -14 * 0 * 9 * 1 * 2 * 5] + [-13 * -14 * -16 * 0 * 9 * 1 * 2 * 5 * 12]],11
0,10,[[0] + [-10 * 0] + [-9 * -12 * 0 * 10] + [-9 * -16 * 0 * 10 * 12] + [-11 * -16 * 0 * 10 * 9] + [-1 * -2 * -14 * 0 * 10 * 9 * 11] + [-1 * -2 * -14 * 0 * 10 * 9 * -11 * 16] + [-1 * -2 * -14 * 0 * 10 * -9 * 12 * 16] + [-1 * -12 * -14 * 0 * 10 * 9 * 11 * 2] + [-1 * -12 * -14 * 0 * 10 * 9 * -11 * 16 * 2] + [-1 * -14 * -16 * 0 * 10 * 9 * 11 * 2 * 12] + [-2 * -5 * -14 * 0 * 10 * 9 * 11 * 1] + [-2 * -5 * -14 * 0 * 10 * 9 * -11 * 16 * 1] + [-2 * -5 * -14 * 0 * 10 * -9 * 12 * 16 * 1] + [-2 * -9 * -14 * 0 * 10 * 12 * 16 * 1 * 5] + [-2 * -13 * -14 * 0 * 10 * 9 * 11 * 1 * 5] + [-2 * -13 * -14 * 0 * 10 * 9 * -11 * 16 * 1 * 5] + [-5 * -12 * -14 * 0 * 10 * 9 * 11 * 1 * 2] + [-5 * -12 * -14 * 0 * 10 * 9 * -11 * 16 * 1 * 2] + [-5 * -14 * -16 * 0 * 10 * 9 * 11 * 1 * 2 * 12] + [-12 * -13 * -14 * 0 * 10 * 9 * 11 * 1 * 2 * 5] + [-12 * -13 * -14 * 0 * 10 * 9 * -11 * 16 * 1 * 2 * 5] + [-13 * -14 * -16 * 0 * 10 * 9 * 11 * 1 * 2 * 5 * 12]],23
