src,dst,boolean_expression,length
0,1,[[0 * 1 * 13]] + [[0 * 1 * 14] * -[13]] + [[0 * 1 * 2 * 5 * 9 * 12 * 16] * -[13] * -[14]],6
0,2,[[0 * 2]],1
0,3,[[0 * 2 * 3 * 12]] + [[0 * 3 * 12 * 14] * -[2]] + [[0 * 2 * 3 * 6 * 7 * 15] * -[12]] + [[0 * 1 * 3 * 5 * 9 * 12 * 13 * 16] * -[2] * -[14]],8
0,4,[[0 * 2 * 4 * 6]] + [[0 * 4 * 6 * 12 * 14] * -[2]] + [[0 * 2 * 3 * 4 * 7 * 8 * 12 * 15] * -[6]] + [[0 * 3 * 4 * 7 * 8 * 12 * 14 * 15] * -[6] * -[2]] + [[0 * 1 * 4 * 5 * 6 * 9 * 12 * 13 * 16] * -[2] * -[14]] + [[0 * 1 * 3 * 4 * 5 * 7 * 8 * 9 * 12 * 13 * 15 * 16] * -[2] * -[14] * -[6]],15
0,5,[[0 * 1 * 5 * 13]] + [[0 * 1 * 5 * 14] * -[13]] + [[0 * 5 * 9 * 14] * -[1]] + [[0 * 2 * 5 * 9 * 12 * 16] * -[1 * 13] * -[14]],8
0,6,[[0 * 2 * 6]] + [[0 * 6 * 12 * 14] * -[2]] + [[0 * 1 * 5 * 6 * 9 * 12 * 13 * 16] * -[2] * -[14]],6
0,7,[[0 * 2 * 6 * 7]] + [[0 * 6 * 7 * 12 * 14] * -[2]] + [[0 * 2 * 3 * 7 * 12 * 15] * -[6]] + [[0 * 3 * 7 * 12 * 14 * 15] * -[6] * -[2]] + [[0 * 1 * 5 * 6 * 7 * 9 * 12 * 13 * 16] * -[2] * -[14]] + [[0 * 1 * 3 * 5 * 7 * 9 * 12 * 13 * 15 * 16] * -[2] * -[14] * -[6]],15
0,8,[[0 * 2 * 4 * 6 * 8]] + [[0 * 2 * 6 * 7 * 8] * -[4]] + [[0 * 4 * 6 * 8 * 12 * 14] * -[2]] + [[0 * 6 * 7 * 8 * 12 * 14] * -[2] * -[4]] + [[0 * 2 * 3 * 7 * 8 * 12 * 15] * -[6]] + [[0 * 3 * 7 * 8 * 12 * 14 * 15] * -[6] * -[2]] + [[0 * 1 * 4 * 5 * 6 * 8 * 9 * 12 * 13 * 16] * -[2] * -[14]] + [[0 * 1 * 5 * 6 * 7 * 8 * 9 * 12 * 13 * 16] * -[2] * -[14] * -[4]] + [[0 * 1 * 3 * 5 * 7 * 8 * 9 * 12 * 13 * 15 * 16] * -[2] * -[14] * -[6]],24
0,9,[[0 * 9 * 14]] + [[0 * 1 * 5 * 9 * 13] * -[14]] + [[0 * 2 * 9 * 12 * 16] * -[14] * -[1 * 5 * 13]],6
0,10,[[0 * 2 * 10 * 12 * 16]] + [[0 * 9 * 10 * 11 * 14] * -[2 * 12 * 16]] + [[0 * 9 * 10 * 14 * 16] * -[2 * 12] * -[11]] + [[0 * 10 * 12 * 14 * 16] * -[2] * -[9]] + [[0 * 1 * 5 * 9 * 10 * 11 * 13] * -[2 * 12 * 16] * -[14]] + [[0 * 1 * 5 * 9 * 10 * 13 * 16] * -[2 * 12] * -[14] * -[11]],16
0,11,[[0 * 9 * 11 * 14]] + [[0 * 2 * 10 * 11 * 12 * 16] * -[9 * 14]] + [[0 * 1 * 5 * 9 * 11 * 13] * -[14] * -[2 * 10 * 12 * 16]] + [[0 * 2 * 9 * 11 * 12 * 16] * -[14] * -[10] * -[1 * 5 * 13]] + [[0 * 10 * 11 * 12 * 14 * 16] * -[9] * -[2]],13
0,12,[[0 * 2 * 12]] + [[0 * 12 * 14] * -[2]] + [[0 * 1 * 5 * 9 * 12 * 13 * 16] * -[2] * -[14]],6
