source,target,mincutsets,length
0,1,"[[0], [1], [2, 13, 14], [5, 13, 14], [9, 13, 14], [12, 13, 14], [13, 14, 16]]",7
0,2,"[[0], [2]]",2
0,3,"[[0], [3], [2, 12], [6, 12], [7, 12], [12, 15], [1, 2, 14], [2, 5, 14], [2, 9, 14], [2, 13, 14], [2, 14, 16]]",11
0,4,"[[0], [4], [2, 12], [3, 6], [6, 7], [6, 8], [6, 12], [6, 15], [1, 2, 14], [2, 5, 14], [2, 9, 14], [2, 13, 14], [2, 14, 16]]",13
0,5,"[[0], [5], [1, 9], [1, 2, 14], [1, 12, 14], [1, 14, 16], [2, 13, 14], [9, 13, 14], [12, 13, 14], [13, 14, 16]]",10
0,6,"[[0], [6], [2, 12], [1, 2, 14], [2, 5, 14], [2, 9, 14], [2, 13, 14], [2, 14, 16]]",8
0,7,"[[0], [7], [2, 12], [3, 6], [6, 12], [6, 15], [1, 2, 14], [2, 5, 14], [2, 9, 14], [2, 13, 14], [2, 14, 16]]",11
0,8,"[[0], [8], [2, 12], [3, 6], [4, 7], [6, 7], [6, 12], [6, 15], [1, 2, 14], [2, 5, 14], [2, 9, 14], [2, 13, 14], [2, 14, 16]]",13
0,9,"[[0], [9], [1, 2, 14], [1, 12, 14], [1, 14, 16], [2, 5, 14], [2, 13, 14], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",11
0,10,"[[0], [10], [9, 12], [9, 16], [11, 16], [1, 2, 14], [1, 12, 14], [1, 14, 16], [2, 5, 14], [2, 9, 14], [2, 13, 14], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",15
0,11,"[[0], [11], [9, 10], [9, 12], [9, 16], [1, 2, 14], [1, 12, 14], [1, 14, 16], [2, 5, 14], [2, 9, 14], [2, 13, 14], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",15
0,12,"[[0], [12], [1, 2, 14], [2, 5, 14], [2, 9, 14], [2, 13, 14], [2, 14, 16]]",7
0,13,"[[0], [13]]",2
0,14,"[[0], [14]]",2
0,15,"[[0], [15], [2, 12], [3, 6], [3, 7], [6, 12], [7, 12], [1, 2, 14], [2, 5, 14], [2, 9, 14], [2, 13, 14], [2, 14, 16]]",12
0,16,"[[0], [16], [9, 12], [1, 2, 14], [1, 12, 14], [2, 5, 14], [2, 9, 14], [2, 13, 14], [5, 12, 14], [12, 13, 14]]",10
1,2,"[[1], [2], [0, 5, 14], [0, 9, 14], [0, 12, 14], [0, 14, 16], [5, 13, 14], [9, 13, 14], [12, 13, 14], [13, 14, 16]]",10
1,3,"[[1], [3], [2, 12], [6, 12], [7, 12], [12, 15], [0, 5, 14], [0, 9, 14], [0, 12, 14], [0, 14, 16], [2, 5, 14], [2, 9, 14], [2, 14, 16], [5, 13, 14], [9, 13, 14], [12, 13, 14], [13, 14, 16]]",17
1,4,"[[1], [4], [2, 12], [3, 6], [6, 7], [6, 8], [6, 12], [6, 15], [0, 5, 14], [0, 9, 14], [0, 12, 14], [0, 14, 16], [2, 5, 14], [2, 9, 14], [2, 14, 16], [5, 13, 14], [9, 13, 14], [12, 13, 14], [13, 14, 16]]",19
1,5,"[[1], [5]]",2
1,6,"[[1], [6], [2, 12], [0, 5, 14], [0, 9, 14], [0, 12, 14], [0, 14, 16], [2, 5, 14], [2, 9, 14], [2, 14, 16], [5, 13, 14], [9, 13, 14], [12, 13, 14], [13, 14, 16]]",14
1,7,"[[1], [7], [2, 12], [3, 6], [6, 12], [6, 15], [0, 5, 14], [0, 9, 14], [0, 12, 14], [0, 14, 16], [2, 5, 14], [2, 9, 14], [2, 14, 16], [5, 13, 14], [9, 13, 14], [12, 13, 14], [13, 14, 16]]",17
1,8,"[[1], [8], [2, 12], [3, 6], [4, 7], [6, 7], [6, 12], [6, 15], [0, 5, 14], [0, 9, 14], [0, 12, 14], [0, 14, 16], [2, 5, 14], [2, 9, 14], [2, 14, 16], [5, 13, 14], [9, 13, 14], [12, 13, 14], [13, 14, 16]]",19
1,9,"[[1], [9], [0, 5, 14], [2, 5, 14], [5, 12, 14], [5, 13, 14], [5, 14, 16]]",7
1,10,"[[1], [10], [9, 12], [9, 16], [11, 16], [0, 5, 14], [0, 9, 14], [2, 5, 14], [2, 9, 14], [5, 12, 14], [5, 13, 14], [5, 14, 16], [9, 13, 14]]",13
1,11,"[[1], [11], [9, 10], [9, 12], [9, 16], [0, 5, 14], [0, 9, 14], [2, 5, 14], [2, 9, 14], [5, 12, 14], [5, 13, 14], [5, 14, 16], [9, 13, 14]]",13
1,12,"[[1], [12], [0, 5, 14], [0, 9, 14], [0, 14, 16], [2, 5, 14], [2, 9, 14], [2, 14, 16], [5, 13, 14], [9, 13, 14], [13, 14, 16]]",11
1,13,"[[1], [13]]",2
1,14,"[[1], [14]]",2
1,15,"[[1], [15], [2, 12], [3, 6], [3, 7], [6, 12], [7, 12], [0, 5, 14], [0, 9, 14], [0, 12, 14], [0, 14, 16], [2, 5, 14], [2, 9, 14], [2, 14, 16], [5, 13, 14], [9, 13, 14], [12, 13, 14], [13, 14, 16]]",18
1,16,"[[1], [16], [9, 12], [0, 5, 14], [0, 9, 14], [2, 5, 14], [2, 9, 14], [5, 12, 14], [5, 13, 14], [9, 13, 14]]",10
2,3,"[[2], [3], [6, 12], [7, 12], [12, 15]]",5
2,4,"[[2], [4], [3, 6], [6, 7], [6, 8], [6, 12], [6, 15]]",7
2,5,"[[2], [5], [1, 9], [0, 9, 14], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [9, 13, 14], [12, 13, 14], [13, 14, 16]]",11
2,6,"[[2], [6]]",2
2,7,"[[2], [7], [3, 6], [6, 12], [6, 15]]",5
2,8,"[[2], [8], [3, 6], [4, 7], [6, 7], [6, 12], [6, 15]]",7
2,9,"[[2], [9], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",10
2,10,"[[2], [10], [9, 12], [9, 16], [11, 16], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",13
2,11,"[[2], [11], [9, 10], [9, 12], [9, 16], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",13
2,12,"[[2], [12]]",2
2,13,"[[2], [13], [0, 1, 14], [0, 5, 14], [0, 9, 14], [0, 12, 14], [0, 14, 16]]",7
2,14,"[[2], [14]]",2
2,15,"[[2], [15], [3, 6], [3, 7], [6, 12], [7, 12]]",6
2,16,"[[2], [16], [9, 12], [0, 12, 14], [1, 12, 14], [5, 12, 14], [12, 13, 14]]",7
3,4,"[[3], [4], [6, 7], [6, 8], [6, 15], [7, 12], [12, 15]]",7
3,5,"[[3], [5], [1, 9], [2, 12], [6, 12], [7, 12], [12, 15], [0, 9, 14], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 9, 14], [2, 14, 16], [9, 13, 14], [12, 13, 14], [13, 14, 16]]",17
3,6,"[[3], [6], [7, 12], [12, 15]]",4
3,7,"[[3], [7], [6, 15], [12, 15]]",4
3,8,"[[3], [8], [4, 7], [6, 7], [6, 15], [7, 12], [12, 15]]",7
3,9,"[[3], [9], [2, 12], [6, 12], [7, 12], [12, 15], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 14, 16], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",15
3,10,"[[3], [10], [2, 12], [6, 12], [7, 12], [9, 12], [9, 16], [11, 16], [12, 15], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 14, 16], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",18
3,11,"[[3], [11], [2, 12], [6, 12], [7, 12], [9, 10], [9, 12], [9, 16], [12, 15], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 14, 16], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",18
3,12,"[[3], [12]]",2
3,13,"[[3], [13], [2, 12], [6, 12], [7, 12], [12, 15], [0, 1, 14], [0, 5, 14], [0, 9, 14], [0, 12, 14], [0, 14, 16], [1, 2, 14], [2, 5, 14], [2, 9, 14], [2, 14, 16]]",15
3,14,"[[3], [14], [2, 12], [6, 12], [7, 12], [12, 15]]",6
3,15,"[[3], [15]]",2
3,16,"[[3], [16], [2, 12], [6, 12], [7, 12], [9, 12], [12, 15], [0, 12, 14], [1, 12, 14], [5, 12, 14], [12, 13, 14]]",11
4,5,"[[4], [5], [1, 9], [2, 12], [3, 6], [6, 7], [6, 8], [6, 12], [6, 15], [0, 9, 14], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 9, 14], [2, 14, 16], [9, 13, 14], [12, 13, 14], [13, 14, 16]]",19
4,6,"[[4], [6]]",2
4,7,"[[4], [7], [6, 8]]",3
4,8,"[[4], [8]]",2
4,9,"[[4], [9], [2, 12], [3, 6], [6, 7], [6, 8], [6, 12], [6, 15], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 14, 16], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",17
4,10,"[[4], [10], [2, 12], [3, 6], [6, 7], [6, 8], [6, 12], [6, 15], [9, 12], [9, 16], [11, 16], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 14, 16], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",20
4,11,"[[4], [11], [2, 12], [3, 6], [6, 7], [6, 8], [6, 12], [6, 15], [9, 10], [9, 12], [9, 16], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 14, 16], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",20
4,12,"[[4], [12], [3, 6], [6, 7], [6, 8], [6, 15]]",6
4,13,"[[4], [13], [2, 12], [3, 6], [6, 7], [6, 8], [6, 12], [6, 15], [0, 1, 14], [0, 5, 14], [0, 9, 14], [0, 12, 14], [0, 14, 16], [1, 2, 14], [2, 5, 14], [2, 9, 14], [2, 14, 16]]",17
4,14,"[[4], [14], [2, 12], [3, 6], [6, 7], [6, 8], [6, 12], [6, 15]]",8
4,15,"[[4], [15], [3, 7], [6, 7], [6, 8], [7, 12]]",6
4,16,"[[4], [16], [2, 12], [3, 6], [6, 7], [6, 8], [6, 12], [6, 15], [9, 12], [0, 12, 14], [1, 12, 14], [5, 12, 14], [12, 13, 14]]",13
5,6,"[[5], [6], [1, 9], [2, 12], [0, 9, 14], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 9, 14], [2, 14, 16], [9, 13, 14], [12, 13, 14], [13, 14, 16]]",14
5,7,"[[5], [7], [1, 9], [2, 12], [3, 6], [6, 12], [6, 15], [0, 9, 14], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 9, 14], [2, 14, 16], [9, 13, 14], [12, 13, 14], [13, 14, 16]]",17
5,8,"[[5], [8], [1, 9], [2, 12], [3, 6], [4, 7], [6, 7], [6, 12], [6, 15], [0, 9, 14], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 9, 14], [2, 14, 16], [9, 13, 14], [12, 13, 14], [13, 14, 16]]",19
5,9,"[[5], [9]]",2
5,10,"[[5], [10], [1, 9], [9, 12], [9, 16], [11, 16], [0, 9, 14], [2, 9, 14], [9, 13, 14]]",9
5,11,"[[5], [11], [1, 9], [9, 10], [9, 12], [9, 16], [0, 9, 14], [2, 9, 14], [9, 13, 14]]",9
5,12,"[[5], [12], [1, 9], [0, 9, 14], [0, 14, 16], [1, 14, 16], [2, 9, 14], [2, 14, 16], [9, 13, 14], [13, 14, 16]]",10
5,13,"[[5], [13], [1, 9], [0, 1, 14], [1, 2, 14], [1, 12, 14], [1, 14, 16]]",7
5,14,"[[5], [14], [1, 9]]",3
5,15,"[[5], [15], [1, 9], [2, 12], [3, 6], [3, 7], [6, 12], [7, 12], [0, 9, 14], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 9, 14], [2, 14, 16], [9, 13, 14], [12, 13, 14], [13, 14, 16]]",18
5,16,"[[5], [16], [1, 9], [9, 12], [0, 9, 14], [2, 9, 14], [9, 13, 14]]",7
6,7,"[[6], [7]]",2
6,8,"[[6], [8], [4, 7]]",3
6,9,"[[6], [9], [2, 12], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 14, 16], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",12
6,10,"[[6], [10], [2, 12], [9, 12], [9, 16], [11, 16], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 14, 16], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",15
6,11,"[[6], [11], [2, 12], [9, 10], [9, 12], [9, 16], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 14, 16], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",15
6,12,"[[6], [12]]",2
6,13,"[[6], [13], [2, 12], [0, 1, 14], [0, 5, 14], [0, 9, 14], [0, 12, 14], [0, 14, 16], [1, 2, 14], [2, 5, 14], [2, 9, 14], [2, 14, 16]]",12
6,14,"[[6], [14], [2, 12]]",3
6,15,"[[6], [15], [3, 7], [7, 12]]",4
6,16,"[[6], [16], [2, 12], [9, 12], [0, 12, 14], [1, 12, 14], [5, 12, 14], [12, 13, 14]]",8
7,8,"[[7], [8]]",2
7,9,"[[7], [9], [2, 12], [3, 6], [6, 12], [6, 15], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 14, 16], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",15
7,10,"[[7], [10], [2, 12], [3, 6], [6, 12], [6, 15], [9, 12], [9, 16], [11, 16], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 14, 16], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",18
7,11,"[[7], [11], [2, 12], [3, 6], [6, 12], [6, 15], [9, 10], [9, 12], [9, 16], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 14, 16], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",18
7,12,"[[7], [12], [3, 6], [6, 15]]",4
7,13,"[[7], [13], [2, 12], [3, 6], [6, 12], [6, 15], [0, 1, 14], [0, 5, 14], [0, 9, 14], [0, 12, 14], [0, 14, 16], [1, 2, 14], [2, 5, 14], [2, 9, 14], [2, 14, 16]]",15
7,14,"[[7], [14], [2, 12], [3, 6], [6, 12], [6, 15]]",6
7,15,"[[7], [15]]",2
7,16,"[[7], [16], [2, 12], [3, 6], [6, 12], [6, 15], [9, 12], [0, 12, 14], [1, 12, 14], [5, 12, 14], [12, 13, 14]]",11
8,9,"[[8], [9], [2, 12], [3, 6], [4, 7], [6, 7], [6, 12], [6, 15], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 14, 16], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",17
8,10,"[[8], [10], [2, 12], [3, 6], [4, 7], [6, 7], [6, 12], [6, 15], [9, 12], [9, 16], [11, 16], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 14, 16], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",20
8,11,"[[8], [11], [2, 12], [3, 6], [4, 7], [6, 7], [6, 12], [6, 15], [9, 10], [9, 12], [9, 16], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 14, 16], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",20
8,12,"[[8], [12], [3, 6], [4, 7], [6, 7], [6, 15]]",6
8,13,"[[8], [13], [2, 12], [3, 6], [4, 7], [6, 7], [6, 12], [6, 15], [0, 1, 14], [0, 5, 14], [0, 9, 14], [0, 12, 14], [0, 14, 16], [1, 2, 14], [2, 5, 14], [2, 9, 14], [2, 14, 16]]",17
8,14,"[[8], [14], [2, 12], [3, 6], [4, 7], [6, 7], [6, 12], [6, 15]]",8
8,15,"[[8], [15], [3, 7], [4, 7], [6, 7], [7, 12]]",6
8,16,"[[8], [16], [2, 12], [3, 6], [4, 7], [6, 7], [6, 12], [6, 15], [9, 12], [0, 12, 14], [1, 12, 14], [5, 12, 14], [12, 13, 14]]",13
9,10,"[[9], [10], [11, 16]]",3
9,11,"[[9], [11]]",2
9,12,"[[9], [12], [0, 14, 16], [1, 14, 16], [2, 14, 16], [5, 14, 16], [13, 14, 16]]",7
9,13,"[[9], [13], [0, 1, 14], [0, 5, 14], [1, 2, 14], [1, 12, 14], [1, 14, 16], [2, 5, 14], [5, 12, 14], [5, 14, 16]]",10
9,14,"[[9], [14]]",2
9,15,"[[9], [15], [2, 12], [3, 6], [3, 7], [6, 12], [7, 12], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 14, 16], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",16
9,16,"[[9], [16]]",2
10,11,"[[10], [11]]",2
10,12,"[[10], [12], [9, 16], [11, 16], [0, 14, 16], [1, 14, 16], [2, 14, 16], [5, 14, 16], [13, 14, 16]]",9
10,13,"[[10], [13], [9, 12], [9, 16], [11, 16], [0, 1, 14], [0, 5, 14], [0, 9, 14], [1, 2, 14], [1, 12, 14], [1, 14, 16], [2, 5, 14], [2, 9, 14], [5, 12, 14], [5, 14, 16]]",15
10,14,"[[10], [14], [9, 12], [9, 16], [11, 16]]",5
10,15,"[[10], [15], [2, 12], [3, 6], [3, 7], [6, 12], [7, 12], [9, 12], [9, 16], [11, 16], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 14, 16], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",19
10,16,"[[10], [16]]",2
11,12,"[[11], [12], [9, 10], [9, 16], [0, 14, 16], [1, 14, 16], [2, 14, 16], [5, 14, 16], [13, 14, 16]]",9
11,13,"[[11], [13], [9, 10], [9, 12], [9, 16], [0, 1, 14], [0, 5, 14], [0, 9, 14], [1, 2, 14], [1, 12, 14], [1, 14, 16], [2, 5, 14], [2, 9, 14], [5, 12, 14], [5, 14, 16]]",15
11,14,"[[11], [14], [9, 10], [9, 12], [9, 16]]",5
11,15,"[[11], [15], [2, 12], [3, 6], [3, 7], [6, 12], [7, 12], [9, 10], [9, 12], [9, 16], [0, 12, 14], [0, 14, 16], [1, 12, 14], [1, 14, 16], [2, 14, 16], [5, 12, 14], [5, 14, 16], [12, 13, 14], [13, 14, 16]]",19
11,16,"[[11], [16], [9, 10]]",3
12,13,"[[12], [13], [0, 1, 14], [0, 5, 14], [0, 9, 14], [0, 14, 16], [1, 2, 14], [2, 5, 14], [2, 9, 14], [2, 14, 16]]",10
12,14,"[[12], [14]]",2
12,15,"[[12], [15], [3, 6], [3, 7]]",4
12,16,"[[12], [16]]",2
13,14,"[[13], [14]]",2
13,15,"[[13], [15], [2, 12], [3, 6], [3, 7], [6, 12], [7, 12], [0, 1, 14], [0, 5, 14], [0, 9, 14], [0, 12, 14], [0, 14, 16], [1, 2, 14], [2, 5, 14], [2, 9, 14], [2, 14, 16]]",16
13,16,"[[13], [16], [9, 12], [0, 1, 14], [0, 5, 14], [0, 9, 14], [1, 2, 14], [1, 12, 14], [2, 5, 14], [2, 9, 14], [5, 12, 14]]",11
14,15,"[[14], [15], [2, 12], [3, 6], [3, 7], [6, 12], [7, 12]]",7
14,16,"[[14], [16], [9, 12]]",3
15,16,"[[15], [16], [2, 12], [3, 6], [3, 7], [6, 12], [7, 12], [9, 12], [0, 12, 14], [1, 12, 14], [5, 12, 14], [12, 13, 14]]",12
