source,target,pathsets,length
0,1,"[[0, 13, 1], [0, 14, 1], [0, 2, 12, 16, 9, 5, 1]]",3
0,2,"[[0, 2]]",1
0,3,"[[0, 13, 1, 5, 9, 16, 12, 3], [0, 14, 12, 3], [0, 2, 12, 3], [0, 2, 6, 7, 15, 3]]",4
0,4,"[[0, 13, 1, 5, 9, 16, 12, 3, 15, 7, 8, 4], [0, 13, 1, 5, 9, 16, 12, 6, 4], [0, 14, 12, 3, 15, 7, 8, 4], [0, 14, 12, 6, 4], [0, 2, 12, 3, 15, 7, 8, 4], [0, 2, 6, 4]]",6
0,5,"[[0, 13, 1, 5], [0, 14, 1, 5], [0, 14, 9, 5], [0, 2, 12, 16, 9, 5]]",4
0,6,"[[0, 13, 1, 5, 9, 16, 12, 6], [0, 14, 12, 6], [0, 2, 6]]",3
0,7,"[[0, 13, 1, 5, 9, 16, 12, 3, 15, 7], [0, 13, 1, 5, 9, 16, 12, 6, 7], [0, 14, 12, 3, 15, 7], [0, 14, 12, 6, 7], [0, 2, 12, 3, 15, 7], [0, 2, 6, 7]]",6
0,8,"[[0, 13, 1, 5, 9, 16, 12, 3, 15, 7, 8], [0, 13, 1, 5, 9, 16, 12, 6, 4, 8], [0, 13, 1, 5, 9, 16, 12, 6, 7, 8], [0, 14, 12, 3, 15, 7, 8], [0, 14, 12, 6, 4, 8], [0, 14, 12, 6, 7, 8], [0, 2, 12, 3, 15, 7, 8], [0, 2, 6, 4, 8], [0, 2, 6, 7, 8]]",9
0,9,"[[0, 13, 1, 5, 9], [0, 14, 9], [0, 2, 12, 16, 9]]",3
0,10,"[[0, 13, 1, 5, 9, 11, 10], [0, 13, 1, 5, 9, 16, 10], [0, 14, 9, 11, 10], [0, 14, 9, 16, 10], [0, 14, 12, 16, 10], [0, 2, 12, 16, 10]]",6
0,11,"[[0, 13, 1, 5, 9, 11], [0, 14, 9, 11], [0, 14, 12, 16, 10, 11], [0, 2, 12, 16, 9, 11], [0, 2, 12, 16, 10, 11]]",5
0,12,"[[0, 13, 1, 5, 9, 16, 12], [0, 14, 12], [0, 2, 12]]",3
0,13,"[[0, 13]]",1
0,14,"[[0, 14]]",1
0,15,"[[0, 13, 1, 5, 9, 16, 12, 3, 15], [0, 13, 1, 5, 9, 16, 12, 6, 7, 15], [0, 14, 12, 3, 15], [0, 14, 12, 6, 7, 15], [0, 2, 12, 3, 15], [0, 2, 6, 7, 15]]",6
0,16,"[[0, 13, 1, 5, 9, 16], [0, 14, 9, 16], [0, 14, 12, 16], [0, 2, 12, 16]]",4
1,2,"[[1, 13, 0, 2], [1, 14, 2], [1, 5, 9, 16, 12, 2]]",3
1,3,"[[1, 13, 0, 2, 12, 3], [1, 13, 0, 2, 6, 7, 15, 3], [1, 14, 12, 3], [1, 14, 2, 6, 7, 15, 3], [1, 5, 9, 16, 12, 3]]",5
1,4,"[[1, 13, 0, 2, 12, 3, 15, 7, 8, 4], [1, 13, 0, 2, 6, 4], [1, 14, 12, 3, 15, 7, 8, 4], [1, 14, 12, 6, 4], [1, 14, 2, 6, 4], [1, 5, 9, 16, 12, 3, 15, 7, 8, 4], [1, 5, 9, 16, 12, 6, 4]]",7
1,5,"[[1, 5]]",1
1,6,"[[1, 13, 0, 2, 6], [1, 14, 12, 6], [1, 14, 2, 6], [1, 5, 9, 16, 12, 6]]",4
1,7,"[[1, 13, 0, 2, 12, 3, 15, 7], [1, 13, 0, 2, 6, 7], [1, 14, 12, 3, 15, 7], [1, 14, 12, 6, 7], [1, 14, 2, 6, 7], [1, 5, 9, 16, 12, 3, 15, 7], [1, 5, 9, 16, 12, 6, 7]]",7
