source,target,0.9 Availability,0.99 Availability,0.999 Availability,0.9999 Availability
1,2,0.81,0.9801,0.998001,0.99980001
1,3,0.757242954,0.979162849,0.997991065,0.99979991
1,4,0.715724013,0.978413241,0.997983117,0.99979983
1,5,0.684981857,0.977851102,0.997977156,0.99979977
1,6,0.664674906,0.977476374,0.997973181,0.99979973
1,7,0.654577527,0.977289019,0.997971194,0.99979971
1,8,0.684981857,0.977851102,0.997977156,0.99979977
1,9,0.715724013,0.978413241,0.997983117,0.99979983
1,10,0.757242954,0.979162849,0.997991065,0.99979991
1,11,0.654577527,0.977289019,0.997971194,0.99979971
1,12,0.81,0.9801,0.998001,0.99980001
1,13,0.664674906,0.977476374,0.997973181,0.99979973
2,3,0.81,0.9801,0.998001,0.99980001
2,4,0.757242954,0.979162849,0.997991065,0.99979991
2,5,0.715724013,0.978413241,0.997983117,0.99979983
2,6,0.684981857,0.977851102,0.997977156,0.99979977
2,7,0.654577527,0.977289019,0.997971194,0.99979971
2,8,0.664674906,0.977476374,0.997973181,0.99979973
2,9,0.684981857,0.977851102,0.997977156,0.99979977
2,10,0.715724013,0.978413241,0.997983117,0.99979983
2,11,0.664674906,0.977476374,0.997973181,0.99979973
2,12,0.757242954,0.979162849,0.997991065,0.99979991
2,13,0.654577527,0.977289019,0.997971194,0.99979971
3,4,0.81,0.9801,0.998001,0.99980001
3,5,0.757242954,0.979162849,0.997991065,0.99979991
3,6,0.715724013,0.978413241,0.997983117,0.99979983
3,7,0.664674906,0.977476374,0.997973181,0.99979973
3,8,0.654577527,0.977289019,0.997971194,0.99979971
3,9,0.664674906,0.977476374,0.997973181,0.99979973
3,10,0.684981857,0.977851102,0.997977156,0.99979977
3,11,0.684981857,0.977851102,0.997977156,0.99979977
3,12,0.715724013,0.978413241,0.997983117,0.99979983
3,13,0.654577527,0.977289019,0.997971194,0.99979971
4,5,0.81,0.9801,0.998001,0.99980001
4,6,0.757242954,0.979162849,0.997991065,0.99979991
4,7,0.684981857,0.977851102,0.997977156,0.99979977
4,8,0.654577527,0.977289019,0.997971194,0.99979971
4,9,0.654577527,0.977289019,0.997971194,0.99979971
4,10,0.664674906,0.977476374,0.997973181,0.99979973
4,11,0.715724013,0.978413241,0.997983117,0.99979983
4,12,0.684981857,0.977851102,0.997977156,0.99979977
4,13,0.664674906,0.977476374,0.997973181,0.99979973
5,6,0.81,0.9801,0.998001,0.99980001
5,7,0.715724013,0.978413241,0.997983117,0.99979983
5,8,0.664674906,0.977476374,0.997973181,0.99979973
5,9,0.654577527,0.977289019,0.997971194,0.99979971
5,10,0.654577527,0.977289019,0.997971194,0.99979971
5,11,0.757242954,0.979162849,0.997991065,0.99979991
5,12,0.664674906,0.977476374,0.997973181,0.99979973
5,13,0.684981857,0.977851102,0.997977156,0.99979977
6,7,0.757242954,0.979162849,0.997991065,0.99979991
6,8,0.684981857,0.977851102,0.997977156,0.99979977
6,9,0.664674906,0.977476374,0.997973181,0.99979973
6,10,0.654577527,0.977289019,0.997971194,0.99979971
6,11,0.81,0.9801,0.998001,0.99980001
6,12,0.654577527,0.977289019,0.997971194,0.99979971
6,13,0.715724013,0.978413241,0.997983117,0.99979983
7,8,0.757242954,0.979162849,0.997991065,0.99979991
7,9,0.715724013,0.978413241,0.997983117,0.99979983
7,10,0.684981857,0.977851102,0.997977156,0.99979977
7,11,0.81,0.9801,0.998001,0.99980001
7,12,0.664674906,0.977476374,0.997973181,0.99979973
7,13,0.81,0.9801,0.998001,0.99980001
8,9,0.81,0.9801,0.998001,0.99980001
8,10,0.757242954,0.979162849,0.997991065,0.99979991
8,11,0.715724013,0.978413241,0.997983117,0.99979983
8,12,0.715724013,0.978413241,0.997983117,0.99979983
8,13,0.81,0.9801,0.998001,0.99980001
9,10,0.81,0.9801,0.998001,0.99980001
9,11,0.684981857,0.977851102,0.997977156,0.99979977
9,12,0.757242954,0.979162849,0.997991065,0.99979991
9,13,0.757242954,0.979162849,0.997991065,0.99979991
10,11,0.664674906,0.977476374,0.997973181,0.99979973
10,12,0.81,0.9801,0.998001,0.99980001
10,13,0.715724013,0.978413241,0.997983117,0.99979983
11,12,0.654577527,0.977289019,0.997971194,0.99979971
11,13,0.757242954,0.979162849,0.997991065,0.99979991
12,13,0.684981857,0.977851102,0.997977156,0.99979977
