src,dst,boolean_expression,length
0,1,[[0 * 1]],1
0,2,[[0 * 1 * 2]] + [[0 * 2 * 3 * 4 * 5 * 6 * 7 * 8 * 9 * 10 * 11 * 12] * -[1]],3
0,3,[[0 * 1 * 2 * 3]] + [[0 * 3 * 4 * 5 * 6 * 7 * 8 * 9 * 10 * 11 * 12] * -[1 * 2]],3
0,4,[[0 * 1 * 2 * 3 * 4]] + [[0 * 4 * 5 * 6 * 7 * 8 * 9 * 10 * 11 * 12] * -[1 * 2 * 3]],3
0,5,[[0 * 1 * 2 * 3 * 4 * 5]] + [[0 * 5 * 6 * 7 * 8 * 9 * 10 * 11 * 12] * -[1 * 2 * 3 * 4]],3
0,6,[[0 * 6 * 7 * 8 * 9 * 11 * 12]] + [[0 * 1 * 2 * 3 * 4 * 5 * 6 * 10] * -[7 * 8 * 9 * 11 * 12]],3
0,7,[[0 * 7 * 8 * 9 * 11]] + [[0 * 1 * 2 * 3 * 4 * 5 * 6 * 7 * 10 * 12] * -[8 * 9 * 11]],3
0,8,[[0 * 8 * 9 * 11]] + [[0 * 1 * 2 * 3 * 4 * 5 * 6 * 7 * 8 * 10 * 12] * -[9 * 11]],3
0,9,[[0 * 9 * 11]] + [[0 * 1 * 2 * 3 * 4 * 5 * 6 * 7 * 8 * 9 * 10 * 12] * -[11]],3
0,10,[[0 * 1 * 2 * 3 * 4 * 5 * 10]] + [[0 * 6 * 7 * 8 * 9 * 10 * 11 * 12] * -[1 * 2 * 3 * 4 * 5]],3
0,11,[[0 * 11]],1
0,12,[[0 * 7 * 8 * 9 * 11 * 12]] + [[0 * 1 * 2 * 3 * 4 * 5 * 6 * 10 * 12] * -[7 * 8 * 9 * 11]],3
1,2,[[1 * 2]],1
1,3,[[1 * 2 * 3]] + [[0 * 1 * 3 * 4 * 5 * 6 * 7 * 8 * 9 * 10 * 11 * 12] * -[2]],3
1,4,[[1 * 2 * 3 * 4]] + [[0 * 1 * 4 * 5 * 6 * 7 * 8 * 9 * 10 * 11 * 12] * -[2 * 3]],3
1,5,[[1 * 2 * 3 * 4 * 5]] + [[0 * 1 * 5 * 6 * 7 * 8 * 9 * 10 * 11 * 12] * -[2 * 3 * 4]],3
