source,target,pathsets,length
0,1,"[[0, 6, 10, 17, 4, 20, 7, 3, 1], [0, 6, 10, 17, 4, 25, 7, 3, 1], [0, 6, 10, 17, 16, 21, 1], [0, 6, 10, 17, 24, 20, 7, 3, 1], [0, 6, 10, 17, 24, 26, 3, 1], [0, 6, 10, 17, 24, 26, 21, 1], [0, 6, 10, 23, 27, 16, 21, 1], [0, 6, 19, 14, 27, 16, 17, 4, 20, 7, 3, 1], [0, 6, 19, 14, 27, 16, 17, 4, 25, 7, 3, 1], [0, 6, 19, 14, 27, 16, 17, 24, 20, 7, 3, 1], [0, 6, 19, 14, 27, 16, 17, 24, 26, 3, 1], [0, 6, 19, 14, 27, 16, 21, 1], [0, 6, 19, 23, 27, 16, 17, 4, 20, 7, 3, 1], [0, 6, 19, 23, 27, 16, 17, 4, 25, 7, 3, 1], [0, 6, 19, 23, 27, 16, 17, 24, 20, 7, 3, 1], [0, 6, 19, 23, 27, 16, 17, 24, 26, 3, 1], [0, 6, 19, 23, 27, 16, 21, 1], [0, 12, 4, 17, 16, 21, 1], [0, 12, 4, 17, 24, 26, 3, 1], [0, 12, 4, 17, 24, 26, 21, 1], [0, 12, 4, 20, 7, 3, 1], [0, 12, 4, 20, 24, 26, 3, 1], [0, 12, 4, 20, 24, 26, 21, 1], [0, 12, 4, 25, 7, 3, 1], [0, 12, 10, 17, 16, 21, 1], [0, 12, 10, 17, 24, 20, 7, 3, 1], [0, 12, 10, 17, 24, 26, 3, 1], [0, 12, 10, 17, 24, 26, 21, 1], [0, 12, 10, 23, 27, 16, 21, 1], [0, 13, 19, 14, 27, 16, 17, 4, 20, 7, 3, 1], [0, 13, 19, 14, 27, 16, 17, 4, 25, 7, 3, 1], [0, 13, 19, 14, 27, 16, 17, 24, 20, 7, 3, 1], [0, 13, 19, 14, 27, 16, 17, 24, 26, 3, 1], [0, 13, 19, 14, 27, 16, 21, 1], [0, 13, 19, 23, 10, 17, 4, 20, 7, 3, 1], [0, 13, 19, 23, 10, 17, 4, 25, 7, 3, 1], [0, 13, 19, 23, 10, 17, 16, 21, 1], [0, 13, 19, 23, 10, 17, 24, 20, 7, 3, 1], [0, 13, 19, 23, 10, 17, 24, 26, 3, 1], [0, 13, 19, 23, 10, 17, 24, 26, 21, 1], [0, 13, 19, 23, 27, 16, 17, 4, 20, 7, 3, 1], [0, 13, 19, 23, 27, 16, 17, 4, 25, 7, 3, 1], [0, 13, 19, 23, 27, 16, 17, 24, 20, 7, 3, 1], [0, 13, 19, 23, 27, 16, 17, 24, 26, 3, 1], [0, 13, 19, 23, 27, 16, 21, 1]]",45
0,2,"[[0, 6, 10, 17, 16, 27, 14, 2], [0, 6, 10, 23, 27, 14, 2], [0, 6, 19, 5, 15, 2], [0, 6, 19, 14, 2], [0, 12, 4, 17, 16, 27, 14, 2], [0, 12, 4, 17, 16, 27, 23, 19, 5, 15, 2], [0, 12, 4, 20, 7, 3, 1, 21, 16, 27, 14, 2], [0, 12, 4, 20, 7, 3, 1, 21, 16, 27, 23, 19, 5, 15, 2], [0, 12, 4, 20, 7, 3, 26, 21, 16, 27, 14, 2], [0, 12, 4, 20, 7, 3, 26, 21, 16, 27, 23, 19, 5, 15, 2], [0, 12, 4, 20, 24, 26, 21, 16, 27, 14, 2], [0, 12, 4, 20, 24, 26, 21, 16, 27, 23, 19, 5, 15, 2], [0, 12, 4, 25, 7, 3, 1, 21, 16, 27, 14, 2], [0, 12, 4, 25, 7, 3, 1, 21, 16, 27, 23, 19, 5, 15, 2], [0, 12, 4, 25, 7, 3, 26, 21, 16, 27, 14, 2], [0, 12, 4, 25, 7, 3, 26, 21, 16, 27, 23, 19, 5, 15, 2], [0, 12, 10, 17, 16, 27, 14, 2], [0, 12, 10, 23, 19, 5, 15, 2], [0, 12, 10, 23, 19, 14, 2], [0, 12, 10, 23, 27, 14, 2], [0, 13, 19, 5, 15, 2], [0, 13, 19, 14, 2]]",22
0,3,"[[0, 6, 10, 17, 4, 20, 7, 3], [0, 6, 10, 17, 4, 25, 7, 3], [0, 6, 10, 17, 16, 21, 1, 3], [0, 6, 10, 17, 16, 21, 26, 3], [0, 6, 10, 17, 24, 20, 7, 3], [0, 6, 10, 17, 24, 26, 3], [0, 6, 10, 23, 27, 16, 21, 1, 3], [0, 6, 10, 23, 27, 16, 21, 26, 3], [0, 6, 19, 14, 27, 16, 17, 4, 20, 7, 3], [0, 6, 19, 14, 27, 16, 17, 4, 25, 7, 3], [0, 6, 19, 14, 27, 16, 17, 24, 20, 7, 3], [0, 6, 19, 14, 27, 16, 17, 24, 26, 3], [0, 6, 19, 14, 27, 16, 21, 1, 3], [0, 6, 19, 14, 27, 16, 21, 26, 3], [0, 6, 19, 23, 27, 16, 17, 4, 20, 7, 3], [0, 6, 19, 23, 27, 16, 17, 4, 25, 7, 3], [0, 6, 19, 23, 27, 16, 17, 24, 20, 7, 3], [0, 6, 19, 23, 27, 16, 17, 24, 26, 3], [0, 6, 19, 23, 27, 16, 21, 1, 3], [0, 6, 19, 23, 27, 16, 21, 26, 3], [0, 12, 4, 17, 16, 21, 1, 3], [0, 12, 4, 17, 16, 21, 26, 3], [0, 12, 4, 17, 24, 26, 3], [0, 12, 4, 20, 7, 3], [0, 12, 4, 20, 24, 26, 3], [0, 12, 4, 25, 7, 3], [0, 12, 10, 17, 16, 21, 1, 3], [0, 12, 10, 17, 16, 21, 26, 3], [0, 12, 10, 17, 24, 20, 7, 3], [0, 12, 10, 17, 24, 26, 3], [0, 12, 10, 23, 27, 16, 21, 1, 3], [0, 12, 10, 23, 27, 16, 21, 26, 3], [0, 13, 19, 14, 27, 16, 17, 4, 20, 7, 3], [0, 13, 19, 14, 27, 16, 17, 4, 25, 7, 3], [0, 13, 19, 14, 27, 16, 17, 24, 20, 7, 3], [0, 13, 19, 14, 27, 16, 17, 24, 26, 3], [0, 13, 19, 14, 27, 16, 21, 1, 3], [0, 13, 19, 14, 27, 16, 21, 26, 3], [0, 13, 19, 23, 10, 17, 4, 20, 7, 3], [0, 13, 19, 23, 10, 17, 4, 25, 7, 3], [0, 13, 19, 23, 10, 17, 16, 21, 1, 3], [0, 13, 19, 23, 10, 17, 16, 21, 26, 3], [0, 13, 19, 23, 10, 17, 24, 20, 7, 3], [0, 13, 19, 23, 10, 17, 24, 26, 3], [0, 13, 19, 23, 27, 16, 17, 4, 20, 7, 3], [0, 13, 19, 23, 27, 16, 17, 4, 25, 7, 3], [0, 13, 19, 23, 27, 16, 17, 24, 20, 7, 3], [0, 13, 19, 23, 27, 16, 17, 24, 26, 3], [0, 13, 19, 23, 27, 16, 21, 1, 3], [0, 13, 19, 23, 27, 16, 21, 26, 3]]",50
0,4,"[[0, 6, 10, 17, 4], [0, 6, 10, 23, 27, 16, 21, 1, 3, 7, 20, 4], [0, 6, 10, 23, 27, 16, 21, 1, 3, 7, 25, 4], [0, 6, 10, 23, 27, 16, 21, 26, 3, 7, 20, 4], [0, 6, 10, 23, 27, 16, 21, 26, 3, 7, 25, 4], [0, 6, 10, 23, 27, 16, 21, 26, 24, 20, 4], [0, 6, 19, 14, 27, 16, 17, 4], [0, 6, 19, 14, 27, 16, 21, 1, 3, 7, 20, 4], [0, 6, 19, 14, 27, 16, 21, 1, 3, 7, 25, 4], [0, 6, 19, 14, 27, 16, 21, 26, 3, 7, 20, 4], [0, 6, 19, 14, 27, 16, 21, 26, 3, 7, 25, 4], [0, 6, 19, 14, 27, 16, 21, 26, 24, 20, 4], [0, 6, 19, 23, 27, 16, 17, 4], [0, 6, 19, 23, 27, 16, 21, 1, 3, 7, 20, 4], [0, 6, 19, 23, 27, 16, 21, 1, 3, 7, 25, 4], [0, 6, 19, 23, 27, 16, 21, 26, 3, 7, 20, 4], [0, 6, 19, 23, 27, 16, 21, 26, 3, 7, 25, 4], [0, 6, 19, 23, 27, 16, 21, 26, 24, 20, 4], [0, 12, 4], [0, 13, 19, 14, 27, 16, 17, 4], [0, 13, 19, 14, 27, 16, 21, 1, 3, 7, 20, 4], [0, 13, 19, 14, 27, 16, 21, 1, 3, 7, 25, 4], [0, 13, 19, 14, 27, 16, 21, 26, 3, 7, 20, 4], [0, 13, 19, 14, 27, 16, 21, 26, 3, 7, 25, 4], [0, 13, 19, 14, 27, 16, 21, 26, 24, 20, 4], [0, 13, 19, 23, 10, 17, 4], [0, 13, 19, 23, 27, 16, 17, 4], [0, 13, 19, 23, 27, 16, 21, 1, 3, 7, 20, 4], [0, 13, 19, 23, 27, 16, 21, 1, 3, 7, 25, 4], [0, 13, 19, 23, 27, 16, 21, 26, 3, 7, 20, 4], [0, 13, 19, 23, 27, 16, 21, 26, 3, 7, 25, 4], [0, 13, 19, 23, 27, 16, 21, 26, 24, 20, 4]]",32
0,5,"[[0, 6, 10, 17, 16, 27, 14, 2, 15, 5], [0, 6, 10, 23, 27, 14, 2, 15, 5], [0, 6, 19, 5], [0, 12, 4, 17, 16, 27, 14, 2, 15, 5], [0, 12, 4, 17, 16, 27, 14, 19, 5], [0, 12, 4, 17, 16, 27, 23, 19, 5], [0, 12, 4, 20, 7, 3, 1, 21, 16, 27, 14, 2, 15, 5], [0, 12, 4, 20, 7, 3, 1, 21, 16, 27, 14, 19, 5], [0, 12, 4, 20, 7, 3, 1, 21, 16, 27, 23, 19, 5], [0, 12, 4, 20, 7, 3, 26, 21, 16, 27, 14, 2, 15, 5], [0, 12, 4, 20, 7, 3, 26, 21, 16, 27, 14, 19, 5], [0, 12, 4, 20, 7, 3, 26, 21, 16, 27, 23, 19, 5], [0, 12, 4, 20, 24, 26, 21, 16, 27, 14, 2, 15, 5], [0, 12, 4, 20, 24, 26, 21, 16, 27, 14, 19, 5], [0, 12, 4, 20, 24, 26, 21, 16, 27, 23, 19, 5], [0, 12, 4, 25, 7, 3, 1, 21, 16, 27, 14, 2, 15, 5], [0, 12, 4, 25, 7, 3, 1, 21, 16, 27, 14, 19, 5], [0, 12, 4, 25, 7, 3, 1, 21, 16, 27, 23, 19, 5], [0, 12, 4, 25, 7, 3, 26, 21, 16, 27, 14, 2, 15, 5], [0, 12, 4, 25, 7, 3, 26, 21, 16, 27, 14, 19, 5], [0, 12, 4, 25, 7, 3, 26, 21, 16, 27, 23, 19, 5], [0, 12, 10, 17, 16, 27, 14, 2, 15, 5], [0, 12, 10, 17, 16, 27, 14, 19, 5], [0, 12, 10, 23, 19, 5], [0, 12, 10, 23, 27, 14, 2, 15, 5], [0, 13, 19, 5]]",26
0,6,"[[0, 6]]",1
0,7,"[[0, 6, 10, 17, 4, 20, 7], [0, 6, 10, 17, 4, 25, 7], [0, 6, 10, 17, 16, 21, 1, 3, 7], [0, 6, 10, 17, 16, 21, 26, 3, 7], [0, 6, 10, 17, 24, 20, 7], [0, 6, 10, 17, 24, 26, 3, 7], [0, 6, 10, 23, 27, 16, 21, 1, 3, 7], [0, 6, 10, 23, 27, 16, 21, 26, 3, 7], [0, 6, 10, 23, 27, 16, 21, 26, 24, 20, 7], [0, 6, 19, 14, 27, 16, 17, 4, 20, 7], [0, 6, 19, 14, 27, 16, 17, 4, 25, 7], [0, 6, 19, 14, 27, 16, 17, 24, 20, 7], [0, 6, 19, 14, 27, 16, 17, 24, 26, 3, 7], [0, 6, 19, 14, 27, 16, 21, 1, 3, 7], [0, 6, 19, 14, 27, 16, 21, 26, 3, 7], [0, 6, 19, 14, 27, 16, 21, 26, 24, 20, 7], [0, 6, 19, 23, 27, 16, 17, 4, 20, 7], [0, 6, 19, 23, 27, 16, 17, 4, 25, 7], [0, 6, 19, 23, 27, 16, 17, 24, 20, 7], [0, 6, 19, 23, 27, 16, 17, 24, 26, 3, 7], [0, 6, 19, 23, 27, 16, 21, 1, 3, 7], [0, 6, 19, 23, 27, 16, 21, 26, 3, 7], [0, 6, 19, 23, 27, 16, 21, 26, 24, 20, 7], [0, 12, 4, 17, 16, 21, 1, 3, 7], [0, 12, 4, 17, 16, 21, 26, 3, 7], [0, 12, 4, 17, 24, 26, 3, 7], [0, 12, 4, 20, 7], [0, 12, 4, 25, 7], [0, 12, 10, 17, 16, 21, 1, 3, 7], [0, 12, 10, 17, 16, 21, 26, 3, 7], [0, 12, 10, 17, 24, 20, 7], [0, 12, 10, 17, 24, 26, 3, 7], [0, 12, 10, 23, 27, 16, 21, 1, 3, 7], [0, 12, 10, 23, 27, 16, 21, 26, 3, 7], [0, 12, 10, 23, 27, 16, 21, 26, 24, 20, 7], [0, 13, 19, 14, 27, 16, 17, 4, 20, 7], [0, 13, 19, 14, 27, 16, 17, 4, 25, 7], [0, 13, 19, 14, 27, 16, 17, 24, 20, 7], [0, 13, 19, 14, 27, 16, 17, 24, 26, 3, 7], [0, 13, 19, 14, 27, 16, 21, 1, 3, 7], [0, 13, 19, 14, 27, 16, 21, 26, 3, 7], [0, 13, 19, 14, 27, 16, 21, 26, 24, 20, 7], [0, 13, 19, 23, 10, 17, 4, 20, 7], [0, 13, 19, 23, 10, 17, 4, 25, 7], [0, 13, 19, 23, 10, 17, 16, 21, 1, 3, 7], [0, 13, 19, 23, 10, 17, 16, 21, 26, 3, 7], [0, 13, 19, 23, 10, 17, 24, 20, 7], [0, 13, 19, 23, 10, 17, 24, 26, 3, 7], [0, 13, 19, 23, 27, 16, 17, 4, 20, 7], [0, 13, 19, 23, 27, 16, 17, 4, 25, 7], [0, 13, 19, 23, 27, 16, 17, 24, 20, 7], [0, 13, 19, 23, 27, 16, 17, 24, 26, 3, 7], [0, 13, 19, 23, 27, 16, 21, 1, 3, 7], [0, 13, 19, 23, 27, 16, 21, 26, 3, 7], [0, 13, 19, 23, 27, 16, 21, 26, 24, 20, 7]]",55
0,8,"[[0, 6, 10, 17, 4, 8], [0, 6, 10, 17, 16, 21, 1, 3, 7, 25, 22, 18, 8], [0, 6, 10, 17, 16, 21, 26, 3, 7, 25, 22, 18, 8], [0, 6, 10, 17, 24, 20, 7, 25, 22, 18, 8], [0, 6, 10, 17, 24, 26, 3, 7, 25, 22, 18, 8], [0, 6, 10, 23, 27, 16, 21, 1, 3, 7, 20, 4, 8], [0, 6, 10, 23, 27, 16, 21, 1, 3, 7, 25, 4, 8], [0, 6, 10, 23, 27, 16, 21, 1, 3, 7, 25, 22, 18, 8], [0, 6, 10, 23, 27, 16, 21, 26, 3, 7, 20, 4, 8], [0, 6, 10, 23, 27, 16, 21, 26, 3, 7, 25, 4, 8], [0, 6, 10, 23, 27, 16, 21, 26, 3, 7, 25, 22, 18, 8], [0, 6, 10, 23, 27, 16, 21, 26, 24, 20, 4, 8], [0, 6, 10, 23, 27, 16, 21, 26, 24, 20, 7, 25, 22, 18, 8], [0, 6, 19, 14, 27, 16, 17, 4, 8], [0, 6, 19, 14, 27, 16, 17, 24, 20, 7, 25, 22, 18, 8], [0, 6, 19, 14, 27, 16, 17, 24, 26, 3, 7, 25, 22, 18, 8], [0, 6, 19, 14, 27, 16, 21, 1, 3, 7, 20, 4, 8], [0, 6, 19, 14, 27, 16, 21, 1, 3, 7, 25, 4, 8], [0, 6, 19, 14, 27, 16, 21, 1, 3, 7, 25, 22, 18, 8], [0, 6, 19, 14, 27, 16, 21, 26, 3, 7, 20, 4, 8], [0, 6, 19, 14, 27, 16, 21, 26, 3, 7, 25, 4, 8], [0, 6, 19, 14, 27, 16, 21, 26, 3, 7, 25, 22, 18, 8], [0, 6, 19, 14, 27, 16, 21, 26, 24, 20, 4, 8], [0, 6, 19, 14, 27, 16, 21, 26, 24, 20, 7, 25, 22, 18, 8], [0, 6, 19, 23, 27, 16, 17, 4, 8], [0, 6, 19, 23, 27, 16, 17, 24, 20, 7, 25, 22, 18, 8], [0, 6, 19, 23, 27, 16, 17, 24, 26, 3, 7, 25, 22, 18, 8], [0, 6, 19, 23, 27, 16, 21, 1, 3, 7, 20, 4, 8], [0, 6, 19, 23, 27, 16, 21, 1, 3, 7, 25, 4, 8], [0, 6, 19, 23, 27, 16, 21, 1, 3, 7, 25, 22, 18, 8], [0, 6, 19, 23, 27, 16, 21, 26, 3, 7, 20, 4, 8], [0, 6, 19, 23, 27, 16, 21, 26, 3, 7, 25, 4, 8], [0, 6, 19, 23, 27, 16, 21, 26, 3, 7, 25, 22, 18, 8], [0, 6, 19, 23, 27, 16, 21, 26, 24, 20, 4, 8], [0, 6, 19, 23, 27, 16, 21, 26, 24, 20, 7, 25, 22, 18, 8], [0, 12, 4, 8], [0, 12, 10, 17, 16, 21, 1, 3, 7, 25, 22, 18, 8], [0, 12, 10, 17, 16, 21, 26, 3, 7, 25, 22, 18, 8], [0, 12, 10, 17, 24, 20, 7, 25, 22, 18, 8], [0, 12, 10, 17, 24, 26, 3, 7, 25, 22, 18, 8], [0, 12, 10, 23, 27, 16, 21, 1, 3, 7, 25, 22, 18, 8], [0, 12, 10, 23, 27, 16, 21, 26, 3, 7, 25, 22, 18, 8], [0, 12, 10, 23, 27, 16, 21, 26, 24, 20, 7, 25, 22, 18, 8], [0, 13, 19, 14, 27, 16, 17, 4, 8], [0, 13, 19, 14, 27, 16, 17, 24, 20, 7, 25, 22, 18, 8], [0, 13, 19, 14, 27, 16, 17, 24, 26, 3, 7, 25, 22, 18, 8], [0, 13, 19, 14, 27, 16, 21, 1, 3, 7, 20, 4, 8], [0, 13, 19, 14, 27, 16, 21, 1, 3, 7, 25, 4, 8], [0, 13, 19, 14, 27, 16, 21, 1, 3, 7, 25, 22, 18, 8], [0, 13, 19, 14, 27, 16, 21, 26, 3, 7, 20, 4, 8], [0, 13, 19, 14, 27, 16, 21, 26, 3, 7, 25, 4, 8], [0, 13, 19, 14, 27, 16, 21, 26, 3, 7, 25, 22, 18, 8], [0, 13, 19, 14, 27, 16, 21, 26, 24, 20, 4, 8], [0, 13, 19, 14, 27, 16, 21, 26, 24, 20, 7, 25, 22, 18, 8], [0, 13, 19, 23, 10, 17, 4, 8], [0, 13, 19, 23, 10, 17, 16, 21, 1, 3, 7, 25, 22, 18, 8], [0, 13, 19, 23, 10, 17, 16, 21, 26, 3, 7, 25, 22, 18, 8], [0, 13, 19, 23, 10, 17, 24, 20, 7, 25, 22, 18, 8], [0, 13, 19, 23, 10, 17, 24, 26, 3, 7, 25, 22, 18, 8], [0, 13, 19, 23, 27, 16, 17, 4, 8], [0, 13, 19, 23, 27, 16, 17, 24, 20, 7, 25, 22, 18, 8], [0, 13, 19, 23, 27, 16, 17, 24, 26, 3, 7, 25, 22, 18, 8], [0, 13, 19, 23, 27, 16, 21, 1, 3, 7, 20, 4, 8], [0, 13, 19, 23, 27, 16, 21, 1, 3, 7, 25, 4, 8], [0, 13, 19, 23, 27, 16, 21, 1, 3, 7, 25, 22, 18, 8], [0, 13, 19, 23, 27, 16, 21, 26, 3, 7, 20, 4, 8], [0, 13, 19, 23, 27, 16, 21, 26, 3, 7, 25, 4, 8], [0, 13, 19, 23, 27, 16, 21, 26, 3, 7, 25, 22, 18, 8], [0, 13, 19, 23, 27, 16, 21, 26, 24, 20, 4, 8], [0, 13, 19, 23, 27, 16, 21, 26, 24, 20, 7, 25, 22, 18, 8]]",70
0,9,"[[0, 11, 9], [0, 13, 9]]",2
0,10,"[[0, 6, 10], [0, 12, 10], [0, 13, 19, 14, 27, 16, 17, 10], [0, 13, 19, 23, 10]]",4
