source,target,boolean_expression,length
0,1,[[0 * 10 * 1] + [0 * 2 * 1 * -10] + [0 * 5 * 8 * 4 * 3 * 11 * 7 * 1 * -10 * -2]],3
0,2,[[0 * 2]],1
0,3,[[0 * 10 * 1 * 7 * 11 * 3] + [0 * 10 * 4 * 3 * -1] + [0 * 10 * 4 * 3 * 1 * -7] + [0 * 10 * 4 * 3 * 1 * 7 * -11] + [0 * 10 * 6 * 3 * -1 * -4] + [0 * 10 * 6 * 3 * 1 * -7 * -4] + [0 * 10 * 6 * 3 * 1 * 7 * -11 * -4] + [0 * 2 * 1 * 7 * 11 * 3 * -10] + [0 * 2 * 9 * 7 * 11 * 3 * -10 * -1] + [0 * 2 * 9 * 7 * 11 * 3 * 10 * -1 * -4 * -6] + [0 * 5 * 8 * 4 * 3 * -10 * -2] + [0 * 5 * 8 * 4 * 3 * -10 * 2 * -1 * -9] + [0 * 5 * 8 * 4 * 3 * -10 * 2 * -1 * 9 * -7] + [0 * 5 * 8 * 4 * 3 * -10 * 2 * -1 * 9 * 7 * -11] + [0 * 5 * 8 * 4 * 3 * -10 * 2 * 1 * -7] + [0 * 5 * 8 * 4 * 3 * -10 * 2 * 1 * 7 * -11]],16
0,4,[[0 * 10 * 4] + [0 * 2 * 1 * 7 * 11 * 3 * 4 * -10] + [0 * 2 * 9 * 7 * 11 * 3 * 4 * -10 * -1] + [0 * 5 * 8 * 4 * -10 * -2] + [0 * 5 * 8 * 4 * -10 * 2 * -1 * -9] + [0 * 5 * 8 * 4 * -10 * 2 * -1 * 9 * -7] + [0 * 5 * 8 * 4 * -10 * 2 * -1 * 9 * 7 * -11] + [0 * 5 * 8 * 4 * -10 * 2 * -1 * 9 * 7 * 11 * -3] + [0 * 5 * 8 * 4 * -10 * 2 * 1 * -7] + [0 * 5 * 8 * 4 * -10 * 2 * 1 * 7 * -11] + [0 * 5 * 8 * 4 * -10 * 2 * 1 * 7 * 11 * -3]],11
0,5,[[0 * 5]],1
0,6,[[0 * 10 * 6] + [0 * 2 * 1 * 7 * 11 * 6 * -10] + [0 * 2 * 9 * 7 * 11 * 6 * -10 * -1] + [0 * 5 * 8 * 4 * 3 * 6 * -10 * -2] + [0 * 5 * 8 * 4 * 3 * 6 * -10 * 2 * -1 * -9] + [0 * 5 * 8 * 4 * 3 * 6 * -10 * 2 * -1 * 9 * -7] + [0 * 5 * 8 * 4 * 3 * 6 * -10 * 2 * -1 * 9 * 7 * -11] + [0 * 5 * 8 * 4 * 3 * 6 * -10 * 2 * 1 * -7] + [0 * 5 * 8 * 4 * 3 * 6 * -10 * 2 * 1 * 7 * -11]],9
0,7,[[0 * 10 * 1 * 7] + [0 * 10 * 4 * 3 * 11 * 7 * -1] + [0 * 10 * 6 * 11 * 7 * -1 * -4] + [0 * 10 * 6 * 11 * 7 * -1 * 4 * -3] + [0 * 2 * 1 * 7 * -10] + [0 * 2 * 9 * 7 * -10 * -1] + [0 * 2 * 9 * 7 * 10 * -1 * -4 * -6] + [0 * 2 * 9 * 7 * 10 * -1 * -4 * 6 * -11] + [0 * 2 * 9 * 7 * 10 * -1 * 4 * -3 * -6] + [0 * 2 * 9 * 7 * 10 * -1 * 4 * -3 * 6 * -11] + [0 * 2 * 9 * 7 * 10 * -1 * 4 * 3 * -11] + [0 * 5 * 8 * 4 * 3 * 11 * 7 * -10 * -2] + [0 * 5 * 8 * 4 * 3 * 11 * 7 * -10 * 2 * -1 * -9]],13
0,8,[[0 * 10 * 4 * 8] + [0 * 2 * 1 * 7 * 11 * 3 * 4 * 8 * -10] + [0 * 2 * 9 * 7 * 11 * 3 * 4 * 8 * -10 * -1] + [0 * 5 * 8 * -10 * -2] + [0 * 5 * 8 * -10 * 2 * -1 * -9] + [0 * 5 * 8 * -10 * 2 * -1 * 9 * -7] + [0 * 5 * 8 * -10 * 2 * -1 * 9 * 7 * -11] + [0 * 5 * 8 * -10 * 2 * -1 * 9 * 7 * 11 * -3] + [0 * 5 * 8 * -10 * 2 * -1 * 9 * 7 * 11 * 3 * -4] + [0 * 5 * 8 * -10 * 2 * 1 * -7] + [0 * 5 * 8 * -10 * 2 * 1 * 7 * -11] + [0 * 5 * 8 * -10 * 2 * 1 * 7 * 11 * -3] + [0 * 5 * 8 * -10 * 2 * 1 * 7 * 11 * 3 * -4] + [0 * 5 * 8 * 10 * -4]],14
0,9,[[0 * 10 * 1 * 7 * 9] + [0 * 10 * 4 * 3 * 11 * 7 * 9 * -1] + [0 * 10 * 6 * 11 * 7 * 9 * -1 * -4] + [0 * 10 * 6 * 11 * 7 * 9 * -1 * 4 * -3] + [0 * 2 * 9 * -10] + [0 * 2 * 9 * 10 * -1 * -4 * -6] + [0 * 2 * 9 * 10 * -1 * -4 * 6 * -11] + [0 * 2 * 9 * 10 * -1 * -4 * 6 * 11 * -7] + [0 * 2 * 9 * 10 * -1 * 4 * -3 * -6] + [0 * 2 * 9 * 10 * -1 * 4 * -3 * 6 * -11] + [0 * 2 * 9 * 10 * -1 * 4 * -3 * 6 * 11 * -7] + [0 * 2 * 9 * 10 * -1 * 4 * 3 * -11] + [0 * 2 * 9 * 10 * -1 * 4 * 3 * 11 * -7] + [0 * 2 * 9 * 10 * 1 * -7] + [0 * 5 * 8 * 4 * 3 * 11 * 7 * 9 * -10 * -2]],15
0,10,[[0 * 10]],1
