src,dst,boolean_expression,length
0,1,[[1 * 2 * 3]] + [[1 * 2 * 11] * -[3]] + [[1 * 2 * 4 * 5 * 6 * 8 * 9 * 12] * -[3] * -[11]],6
0,2,[[1 * 3]],1
0,3,[[1 * 4 * 5 * 11]] + [[1 * 4 * 7 * 11] * -[5]] + [[1 * 4 * 5 * 6 * 9] * -[11]] + [[1 * 2 * 3 * 4 * 8 * 12] * -[5 * 6 * 9] * -[11]] + [[1 * 2 * 3 * 4 * 8 * 12] * [11] * -[5] * -[7]] + [[1 * 3 * 4 * 8 * 10 * 12] * -[5 * 6 * 9] * -[2] * -[11]] + [[1 * 3 * 4 * 8 * 10 * 12] * [11] * -[2] * -[5] * -[7]] + [[1 * 2 * 4 * 8 * 11 * 12] * -[5] * -[7] * -[3]],25
0,4,[[1 * 5 * 11]] + [[1 * 5 * 6 * 9] * -[11]] + [[1 * 2 * 3 * 4 * 5 * 8 * 12] * -[11] * -[6 * 9]] + [[1 * 3 * 4 * 5 * 8 * 10 * 12] * -[11] * -[6 * 9] * -[2]],10
0,5,[[1 * 6]],1
0,6,[[1 * 7 * 11]] + [[1 * 2 * 3 * 7 * 8 * 12] * -[11]] + [[1 * 3 * 7 * 8 * 10 * 12] * -[11] * -[2]] + [[1 * 4 * 5 * 6 * 7 * 9] * -[11] * -[3 * 8 * 12]] + [[1 * 4 * 5 * 6 * 7 * 9] * [3 * 8 * 12] * -[11] * -[2] * -[10]],14
0,7,[[1 * 2 * 3 * 8]] + [[1 * 2 * 8 * 11] * -[3]] + [[1 * 3 * 8 * 10] * -[2]] + [[1 * 7 * 8 * 11 * 12] * -[2] * -[3 * 10]] + [[1 * 4 * 5 * 8 * 11 * 12] * -[2] * -[3 * 10] * -[7]] + [[1 * 4 * 5 * 6 * 8 * 9 * 12] * -[11] * -[3]] + [[1 * 4 * 5 * 6 * 8 * 9 * 12] * [3] * -[11] * -[2] * -[10]],20
0,8,[[1 * 6 * 9]] + [[1 * 5 * 9 * 11] * -[6]] + [[1 * 2 * 3 * 4 * 5 * 8 * 9 * 12] * -[6] * -[11]] + [[1 * 3 * 4 * 5 * 8 * 9 * 10 * 12] * -[6] * -[11] * -[2]],10
0,9,[[1 * 3 * 10]] + [[1 * 2 * 8 * 10 * 11] * -[3]] + [[1 * 7 * 8 * 10 * 11 * 12] * -[3] * -[2]] + [[1 * 4 * 5 * 8 * 10 * 11 * 12] * -[3] * -[2] * -[7]] + [[1 * 4 * 5 * 6 * 8 * 9 * 10 * 12] * -[3] * -[11]],13
0,10,[[1 * 11]],1
0,11,[[1 * 7 * 11 * 12]] + [[1 * 2 * 3 * 8 * 12] * -[7 * 11]] + [[1 * 3 * 8 * 10 * 12] * -[7 * 11] * -[2]] + [[1 * 2 * 8 * 11 * 12] * -[7] * -[3]] + [[1 * 4 * 5 * 11 * 12] * -[7] * -[8]] + [[1 * 4 * 5 * 11 * 12] * [8] * -[7] * -[3 * 10] * -[2]] + [[1 * 4 * 5 * 6 * 9 * 12] * -[11] * -[3 * 8]] + [[1 * 4 * 5 * 6 * 9 * 12] * [3 * 8] * -[11] * -[2] * -[10]],25
1,2,[[2 * 3]],1
1,3,[[2 * 4 * 5 * 11]] + [[2 * 4 * 7 * 11] * -[5]] + [[2 * 4 * 8 * 12] * -[11]] + [[2 * 4 * 8 * 12] * [11] * -[5] * -[7]] + [[1 * 2 * 3 * 4 * 5 * 6 * 9] * -[11] * -[8 * 12]],12
1,4,[[2 * 5 * 11]] + [[2 * 4 * 5 * 8 * 12] * -[11]] + [[1 * 2 * 3 * 5 * 6 * 9] * -[11] * -[4 * 8 * 12]],6
1,5,[[2 * 6 * 11]] + [[1 * 2 * 3 * 6] * -[11]] + [[2 * 4 * 5 * 6 * 8 * 9 * 12] * -[11] * -[1 * 3]],6
1,6,[[2 * 7 * 11]] + [[2 * 7 * 8 * 12] * -[11]] + [[1 * 2 * 3 * 4 * 5 * 6 * 7 * 9] * -[11] * -[8 * 12]],6
1,7,[[2 * 8]],1
1,8,[[2 * 5 * 9 * 11]] + [[2 * 6 * 9 * 11] * -[5]] + [[1 * 2 * 3 * 6 * 9] * -[11]] + [[2 * 4 * 5 * 8 * 9 * 12] * -[11] * -[1 * 3 * 6]],8
1,9,[[2 * 3 * 10]] + [[2 * 8 * 10] * -[3]],3
1,10,[[2 * 11]],1
1,11,[[2 * 8 * 12]] + [[2 * 7 * 11 * 12] * -[8]] + [[2 * 4 * 5 * 11 * 12] * -[8] * -[7]] + [[1 * 2 * 3 * 4 * 5 * 6 * 9 * 12] * -[8] * -[11]],9
